Accession	IDList
GO:0006644	gene_Ani010007,gene_Ani010008,gene_Ani020145,gene_Ani020365,gene_Ani024460,gene_Ani010761,gene_Ani010766,gene_Ani012196,gene_Ani007277,gene_Ani003200,gene_Ani009848,gene_Ani021265,gene_Ani026725,gene_Ani010547,gene_Ani021262,gene_Ani021267,gene_Ani002478,gene_Ani032838,gene_Ani003437,gene_Ani023151,gene_Ani016538,gene_Ani004909,gene_Ani004024,gene_Ani001547,gene_Ani003308,gene_Ani020216,gene_Ani017593,gene_Ani005451,gene_Ani000703,gene_Ani020217,gene_Ani006138,gene_Ani001628
GO:0046839	gene_Ani010007,gene_Ani010008,gene_Ani020365,gene_Ani003200,gene_Ani003308,gene_Ani020216,gene_Ani020217
GO:0007409	gene_Ani010007,gene_Ani007528,gene_Ani013049,gene_Ani027160,gene_Ani007524,gene_Ani032689,gene_Ani031097,gene_Ani015227,gene_Ani031690,gene_Ani025843,gene_Ani007531,gene_Ani005747,gene_Ani006508,gene_Ani009609,gene_Ani025839,gene_Ani018612,gene_Ani028811
GO:0005980	gene_Ani010002,gene_Ani010001,gene_Ani031018,gene_Ani031019,gene_Ani005961
GO:0005978	gene_Ani010002,gene_Ani010001,gene_Ani031018,gene_Ani031019,gene_Ani022415,gene_Ani022383,gene_Ani006509,gene_Ani029779,gene_Ani011124,gene_Ani011123,gene_Ani029643,gene_Ani028524,gene_Ani012902,gene_Ani012150
GO:0030148	gene_Ani020289,gene_Ani030603,gene_Ani010135,gene_Ani022520
GO:0007165	gene_Ani010008,gene_Ani011606,gene_Ani023827,gene_Ani009001,gene_Ani009004,gene_Ani009007,gene_Ani009265,gene_Ani032687,gene_Ani021408,gene_Ani010730,gene_Ani006033,gene_Ani013049,gene_Ani022364,gene_Ani007740,gene_Ani028034,gene_Ani014684,gene_Ani005768,gene_Ani003425,gene_Ani002771,gene_Ani002770,gene_Ani009962,gene_Ani031626,gene_Ani008557,gene_Ani004352,gene_Ani030530,gene_Ani030532,gene_Ani027459,gene_Ani029875,gene_Ani013922,gene_Ani030945,gene_Ani005127,gene_Ani029886,gene_Ani009638,gene_Ani004650,gene_Ani024151,gene_Ani024155,gene_Ani028683,gene_Ani028682,gene_Ani030156,gene_Ani033565,gene_Ani030551,gene_Ani017194,gene_Ani017193,gene_Ani007653,gene_Ani019102,gene_Ani015595,gene_Ani026606,gene_Ani012222,gene_Ani012223,gene_Ani023385,gene_Ani017056,gene_Ani027521,gene_Ani024736,gene_Ani026387,gene_Ani019715,gene_Ani011680,gene_Ani002508,gene_Ani012566,gene_Ani020283,gene_Ani024192,gene_Ani015487,gene_Ani030319,gene_Ani032122,gene_Ani032656,gene_Ani029986,gene_Ani014382,gene_Ani005068,gene_Ani005067,gene_Ani000927,gene_Ani010233,gene_Ani008807,gene_Ani017153,gene_Ani021138,gene_Ani008784,gene_Ani008621,gene_Ani026643,gene_Ani002458,gene_Ani007585,gene_Ani008789,gene_Ani023527,gene_Ani016628,gene_Ani031264,gene_Ani014480,gene_Ani015468,gene_Ani027225,gene_Ani017610,gene_Ani018427,gene_Ani022495,gene_Ani032723,gene_Ani023950,gene_Ani018752,gene_Ani028086,gene_Ani028083,gene_Ani018751,gene_Ani025330,gene_Ani025331,gene_Ani028558,gene_Ani027247,gene_Ani002379,gene_Ani002378,gene_Ani006852,gene_Ani022967,gene_Ani022962,gene_Ani018177,gene_Ani000452,gene_Ani022777,gene_Ani008265,gene_Ani010568,gene_Ani016217,gene_Ani030286,gene_Ani027268,gene_Ani028205,gene_Ani031328,gene_Ani014026,gene_Ani005575,gene_Ani015469,gene_Ani020765,gene_Ani023003,gene_Ani001281,gene_Ani032688,gene_Ani028592,gene_Ani002623,gene_Ani006816,gene_Ani006812,gene_Ani027238,gene_Ani026085,gene_Ani017678,gene_Ani016195,gene_Ani002459,gene_Ani023284,gene_Ani015446,gene_Ani014404,gene_Ani025309,gene_Ani011926,gene_Ani002605,gene_Ani008635,gene_Ani014965,gene_Ani016171,gene_Ani008352,gene_Ani029295,gene_Ani003129,gene_Ani007463,gene_Ani033339,gene_Ani015015,gene_Ani029719,gene_Ani013030,gene_Ani024524,gene_Ani019814,gene_Ani026018,gene_Ani024569,gene_Ani030206,gene_Ani033338,gene_Ani030201,gene_Ani025024,gene_Ani025025,gene_Ani031954,gene_Ani005865,gene_Ani029253,gene_Ani021697,gene_Ani021696,gene_Ani021695,gene_Ani028617,gene_Ani001521,gene_Ani032258,gene_Ani032250,gene_Ani021203,gene_Ani016940,gene_Ani021719,gene_Ani010458,gene_Ani010397,gene_Ani010739,gene_Ani018821,gene_Ani028186,gene_Ani029583,gene_Ani028361,gene_Ani028367,gene_Ani032664,gene_Ani020950,gene_Ani013076,gene_Ani013075,gene_Ani001224,gene_Ani001225,gene_Ani013618,gene_Ani028006,gene_Ani022704,gene_Ani016962,gene_Ani028796,gene_Ani021851,gene_Ani005367,gene_Ani031618,gene_Ani031617,gene_Ani026423,gene_Ani024352,gene_Ani015952,gene_Ani008561,gene_Ani012511,gene_Ani030068,gene_Ani021451,gene_Ani031004,gene_Ani020584,gene_Ani020912,gene_Ani020915,gene_Ani020918,gene_Ani008763,gene_Ani003002,gene_Ani017680,gene_Ani019308,gene_Ani030543,gene_Ani027448,gene_Ani005636,gene_Ani008545,gene_Ani009883,gene_Ani009884,gene_Ani009887,gene_Ani007281,gene_Ani027610,gene_Ani003034,gene_Ani000448,gene_Ani022390,gene_Ani019801,gene_Ani010898,gene_Ani015112,gene_Ani015111,gene_Ani015110,gene_Ani008562,gene_Ani019585,gene_Ani019586,gene_Ani031211,gene_Ani003589,gene_Ani029919,gene_Ani026614,gene_Ani022660,gene_Ani024724,gene_Ani016611,gene_Ani006039,gene_Ani010304,gene_Ani010307,gene_Ani009637,gene_Ani022058,gene_Ani005246,gene_Ani030918,gene_Ani025456,gene_Ani015533,gene_Ani007240,gene_Ani007244,gene_Ani001354,gene_Ani033010,gene_Ani033011,gene_Ani018350,gene_Ani017443,gene_Ani017441,gene_Ani014727,gene_Ani015596,gene_Ani022486,gene_Ani026331,gene_Ani026330,gene_Ani010126,gene_Ani015098,gene_Ani009045,gene_Ani009046,gene_Ani032248,gene_Ani000447,gene_Ani011509,gene_Ani004760,gene_Ani007417,gene_Ani028778,gene_Ani009304,gene_Ani024433,gene_Ani000919,gene_Ani028097,gene_Ani028098,gene_Ani001486,gene_Ani015532,gene_Ani009598,gene_Ani015470,gene_Ani017312,gene_Ani033174,gene_Ani027862,gene_Ani027869,gene_Ani003193,gene_Ani014739,gene_Ani026731,gene_Ani026732,gene_Ani004646,gene_Ani014479,gene_Ani012956,gene_Ani014073,gene_Ani015694,gene_Ani003674,gene_Ani031313,gene_Ani012324,gene_Ani012327,gene_Ani028035,gene_Ani012329,gene_Ani027526,gene_Ani033402,gene_Ani025565,gene_Ani018747,gene_Ani011898,gene_Ani005637,gene_Ani031128,gene_Ani020668,gene_Ani004232,gene_Ani023432,gene_Ani023436,gene_Ani026528,gene_Ani026527,gene_Ani005614,gene_Ani000643,gene_Ani015216,gene_Ani015213,gene_Ani010539,gene_Ani025016,gene_Ani006264,gene_Ani006514,gene_Ani015240,gene_Ani010320,gene_Ani024617,gene_Ani024539,gene_Ani018900,gene_Ani001982,gene_Ani012110,gene_Ani026569,gene_Ani005402,gene_Ani021238,gene_Ani024568,gene_Ani003853,gene_Ani031403,gene_Ani012342,gene_Ani012344,gene_Ani002896,gene_Ani008066,gene_Ani027371,gene_Ani031820,gene_Ani017564,gene_Ani030118,gene_Ani014692,gene_Ani007827,gene_Ani000803,gene_Ani031647,gene_Ani031649,gene_Ani010167,gene_Ani001021,gene_Ani024654,gene_Ani021686,gene_Ani003467,gene_Ani003793,gene_Ani028374,gene_Ani028373,gene_Ani028372,gene_Ani017907,gene_Ani031072,gene_Ani031070,gene_Ani006765,gene_Ani006766,gene_Ani006768,gene_Ani003220,gene_Ani002915,gene_Ani015729,gene_Ani010127,gene_Ani004651,gene_Ani008541,gene_Ani000650,gene_Ani011138,gene_Ani015700,gene_Ani023002,gene_Ani031401,gene_Ani009065,gene_Ani004426,gene_Ani029988,gene_Ani028931,gene_Ani032978,gene_Ani012221,gene_Ani015014,gene_Ani020144,gene_Ani023953,gene_Ani016080,novel2611,gene_Ani028956,gene_Ani033013,gene_Ani021251,novel1008,gene_Ani022061,gene_Ani019542,gene_Ani028976,gene_Ani018820,gene_Ani000607,gene_Ani023278,novel2331,gene_Ani006974,gene_Ani013071,gene_Ani026934,gene_Ani020185,gene_Ani014216,novel5799,gene_Ani002460,gene_Ani017195,gene_Ani011611,gene_Ani009305,gene_Ani020646,gene_Ani017152
GO:0006210	gene_Ani010009,gene_Ani031036,gene_Ani031034,gene_Ani031033
GO:0006212	gene_Ani010009,gene_Ani031036,gene_Ani031034,gene_Ani031033,gene_Ani031031
GO:0019483	gene_Ani010009,gene_Ani031036,gene_Ani031034
GO:0008360	gene_Ani010005,gene_Ani013049,gene_Ani017699,gene_Ani008574,gene_Ani014130,gene_Ani012870,gene_Ani000877,gene_Ani014353,gene_Ani003458,gene_Ani000810,gene_Ani032839,gene_Ani009846,gene_Ani031022,gene_Ani003442,gene_Ani027259,gene_Ani031124,gene_Ani010554,gene_Ani010555,gene_Ani003443,gene_Ani003444,gene_Ani007820,gene_Ani007544,gene_Ani030304,gene_Ani009847,gene_Ani024883,gene_Ani027560
GO:0032482	gene_Ani014185,gene_Ani026194,gene_Ani012228,gene_Ani028395,gene_Ani015907,gene_Ani015208,gene_Ani023637,gene_Ani023633,gene_Ani025828,gene_Ani013202,gene_Ani006997,gene_Ani025903,gene_Ani019625
GO:0051726	gene_Ani014185,gene_Ani011606,gene_Ani017931,gene_Ani033041,gene_Ani025907,gene_Ani022882,gene_Ani024232,gene_Ani024233,gene_Ani026872,gene_Ani014527,gene_Ani006480,gene_Ani032682,gene_Ani022881,gene_Ani024814,gene_Ani008053,gene_Ani016597,gene_Ani020992,gene_Ani013079,gene_Ani002571,gene_Ani008760,gene_Ani027119,gene_Ani028695,gene_Ani028696,gene_Ani032092,gene_Ani008523,gene_Ani016804,gene_Ani014513,gene_Ani031537,gene_Ani009718,gene_Ani005704,gene_Ani026655,gene_Ani004007,gene_Ani017333,gene_Ani010287,gene_Ani021559,gene_Ani007605,gene_Ani010085,gene_Ani010082,gene_Ani020350,gene_Ani028992,gene_Ani028991,gene_Ani009602,gene_Ani028580,gene_Ani011205,gene_Ani011611,gene_Ani024935
GO:0006357	gene_Ani005330,gene_Ani024303,gene_Ani011030,gene_Ani008808,gene_Ani008833,gene_Ani017039,gene_Ani022674,gene_Ani033291,gene_Ani008881,gene_Ani012052,gene_Ani027913,gene_Ani027910,gene_Ani008556,gene_Ani016330,gene_Ani025897,gene_Ani001731,gene_Ani021196,gene_Ani009893,gene_Ani022749,gene_Ani003005,gene_Ani029386,gene_Ani005352,gene_Ani015121,gene_Ani025981,gene_Ani031971,gene_Ani001452,gene_Ani002992,gene_Ani001945,gene_Ani015878,gene_Ani011864,gene_Ani029457,gene_Ani015819,gene_Ani002754,gene_Ani003597,gene_Ani013519,gene_Ani028531,gene_Ani010289,gene_Ani023260,gene_Ani022025,gene_Ani027991,gene_Ani022616,gene_Ani029881,gene_Ani033271,gene_Ani018838,gene_Ani017826,gene_Ani031720,gene_Ani026022,gene_Ani002354,gene_Ani027909,gene_Ani026492,gene_Ani030627,gene_Ani014496,gene_Ani010108,gene_Ani024493,gene_Ani019576,gene_Ani000185,gene_Ani019797,gene_Ani016405,gene_Ani008290,gene_Ani026462,gene_Ani005020,gene_Ani008080,gene_Ani020859,gene_Ani015369,gene_Ani023916,gene_Ani006480,gene_Ani022534,gene_Ani015629,gene_Ani018091,gene_Ani026176,gene_Ani014750,gene_Ani028044,gene_Ani009834,gene_Ani006810,gene_Ani017953,gene_Ani033413,gene_Ani033393,gene_Ani023639,gene_Ani006838,gene_Ani006839,gene_Ani024041,gene_Ani024040,gene_Ani024043,gene_Ani024042,gene_Ani001385,gene_Ani015564,gene_Ani003127,gene_Ani021922,gene_Ani017938,gene_Ani030343,gene_Ani031690,gene_Ani004101,gene_Ani026741,gene_Ani007173,gene_Ani016592,gene_Ani030750,gene_Ani022590,gene_Ani024853,gene_Ani016926,gene_Ani004128,gene_Ani023237,gene_Ani012517,gene_Ani005866,gene_Ani003780,gene_Ani020583,gene_Ani023442,gene_Ani011962,gene_Ani030380,gene_Ani031656,gene_Ani030120,gene_Ani006543,gene_Ani026024,gene_Ani001011,gene_Ani005633,gene_Ani019177,gene_Ani012704,gene_Ani023318,gene_Ani026443,gene_Ani020134,gene_Ani019977,gene_Ani018759,gene_Ani015876,gene_Ani017951,gene_Ani017952,gene_Ani012188,gene_Ani005747,gene_Ani002969,gene_Ani017491,gene_Ani017493,gene_Ani012516,gene_Ani016527,gene_Ani005772,gene_Ani005773,gene_Ani021631,gene_Ani025290,gene_Ani029097,gene_Ani029090,gene_Ani020582,gene_Ani018101,gene_Ani012927,gene_Ani021841,gene_Ani021619,gene_Ani012825,gene_Ani027766,gene_Ani024704,gene_Ani027136,gene_Ani023259,gene_Ani016804,gene_Ani026377,gene_Ani011870,gene_Ani016613,gene_Ani027409,gene_Ani032644,gene_Ani031537,gene_Ani026636,gene_Ani022609,gene_Ani033268,gene_Ani010831,gene_Ani029611,gene_Ani030252,gene_Ani014201,gene_Ani014498,gene_Ani009718,gene_Ani003899,gene_Ani023686,gene_Ani021681,gene_Ani016404,gene_Ani022547,gene_Ani001780,gene_Ani017103,gene_Ani027606,gene_Ani003775,gene_Ani005440,gene_Ani012866,gene_Ani014475,gene_Ani014752,gene_Ani024950,gene_Ani006808,gene_Ani014013,gene_Ani031917,gene_Ani010553,gene_Ani011937,gene_Ani021272,gene_Ani003774,gene_Ani028272,gene_Ani010561,gene_Ani005884,gene_Ani024050,gene_Ani024051,gene_Ani001396,gene_Ani013187,gene_Ani010082,gene_Ani027396,gene_Ani016115,gene_Ani027579,gene_Ani011631,gene_Ani004137,gene_Ani023862,gene_Ani023861,gene_Ani001407,gene_Ani018237,gene_Ani005481,gene_Ani002797,gene_Ani011959,gene_Ani010063,gene_Ani002654,gene_Ani008689,gene_Ani023667,gene_Ani019351,gene_Ani028745,gene_Ani009612,gene_Ani025292,gene_Ani027140,gene_Ani001643,gene_Ani029093,gene_Ani028580,gene_Ani019750,gene_Ani021923,gene_Ani017937,gene_Ani007191,gene_Ani006896,gene_Ani023733,gene_Ani027989,gene_Ani027209,gene_Ani007423,gene_Ani031715,gene_Ani007307,gene_Ani006742,gene_Ani026550,gene_Ani014476,gene_Ani011601,gene_Ani010141,gene_Ani031969,gene_Ani004758,gene_Ani019006
GO:0035065	gene_Ani005330,gene_Ani005352,gene_Ani011962
GO:0006457	gene_Ani005331,gene_Ani004311,gene_Ani028399,gene_Ani024116,gene_Ani013902,gene_Ani013901,gene_Ani006675,gene_Ani028415,gene_Ani005351,gene_Ani011847,gene_Ani004951,gene_Ani020755,gene_Ani024194,gene_Ani024193,gene_Ani006617,gene_Ani025955,gene_Ani010822,gene_Ani008943,gene_Ani014601,gene_Ani003065,gene_Ani033429,gene_Ani001651,gene_Ani026687,gene_Ani019797,gene_Ani031733,gene_Ani013900,gene_Ani008238,gene_Ani021526,gene_Ani017512,gene_Ani029310,gene_Ani027063,gene_Ani004245,gene_Ani004246,gene_Ani025973,gene_Ani030808,gene_Ani020383,gene_Ani032443,gene_Ani013654,gene_Ani013655,gene_Ani012725,gene_Ani002542,gene_Ani005300,gene_Ani028002,gene_Ani027650,gene_Ani017002,gene_Ani019953,gene_Ani003374,gene_Ani001653,gene_Ani006069,gene_Ani005941,gene_Ani001678,gene_Ani027065,gene_Ani006780,gene_Ani006434,gene_Ani005201,gene_Ani001660,gene_Ani026502,gene_Ani018550,gene_Ani032411,gene_Ani014608,gene_Ani030747,gene_Ani025052,gene_Ani018549,gene_Ani029021,gene_Ani010269,gene_Ani024131,gene_Ani014872,gene_Ani008982,gene_Ani001655
